year,field,n
1969,pieces_per_set_total,79.1641791
1969,pieces_per_set_unique,19.25373134
1969,pieces_per_year_new,131
1969,themes_per_year_total,15
1969,themes_per_year_new,4
1969,pieces_per_year_total,311
1969,pieces_per_year_discontinued,120
1969,themes_per_year_discontinued,2
1969,sets_per_year,72
1970,pieces_per_set_total,99.33333333
1970,pieces_per_set_unique,26.36363636
1970,pieces_per_year_new,42
1970,themes_per_year_total,16
1970,themes_per_year_new,7
1970,pieces_per_year_total,176
1970,pieces_per_year_discontinued,35
1970,themes_per_year_discontinued,1
1970,sets_per_year,37
1971,pieces_per_set_total,95.21568627
1971,pieces_per_set_unique,21.2745098
1971,pieces_per_year_new,43
1971,themes_per_year_total,13
1971,themes_per_year_new,1
1971,pieces_per_year_total,217
1971,pieces_per_year_discontinued,52
1971,themes_per_year_discontinued,1
1971,sets_per_year,54
1972,pieces_per_set_total,115.7647059
1972,pieces_per_set_unique,31.47058824
1972,pieces_per_year_new,57
1972,themes_per_year_total,12
1972,themes_per_year_new,3
1972,pieces_per_year_total,227
1972,pieces_per_year_discontinued,28
1972,themes_per_year_discontinued,0
1972,sets_per_year,39
1973,pieces_per_set_total,107.4029851
1973,pieces_per_set_unique,26.14925373
1973,pieces_per_year_new,37
1973,themes_per_year_total,15
1973,themes_per_year_new,2
1973,pieces_per_year_total,225
1973,pieces_per_year_discontinued,37
1973,themes_per_year_discontinued,0
1973,sets_per_year,70
1974,pieces_per_set_total,112.2777778
1974,pieces_per_set_unique,29.25
1974,pieces_per_year_new,32
1974,themes_per_year_total,13
1974,themes_per_year_new,1
1974,pieces_per_year_total,218
1974,pieces_per_year_discontinued,28
1974,themes_per_year_discontinued,0
1974,sets_per_year,39
1975,pieces_per_set_total,138.15
1975,pieces_per_set_unique,35.725
1975,pieces_per_year_new,30
1975,themes_per_year_total,15
1975,themes_per_year_new,3
1975,pieces_per_year_total,221
1975,pieces_per_year_discontinued,22
1975,themes_per_year_discontinued,1
1975,sets_per_year,41
1976,pieces_per_set_total,148.472973
1976,pieces_per_set_unique,39.77027027
1976,pieces_per_year_new,125
1976,themes_per_year_total,25
1976,themes_per_year_new,4
1976,pieces_per_year_total,383
1976,pieces_per_year_discontinued,72
1976,themes_per_year_discontinued,1
1976,sets_per_year,76
1977,pieces_per_set_total,97.66292135
1977,pieces_per_set_unique,28.3258427
1977,pieces_per_year_new,79
1977,themes_per_year_total,22
1977,themes_per_year_new,4
1977,pieces_per_year_total,330
1977,pieces_per_year_discontinued,77
1977,themes_per_year_discontinued,3
1977,sets_per_year,100
1978,pieces_per_set_total,144.4533333
1978,pieces_per_set_unique,39.2
1978,pieces_per_year_new,86
1978,themes_per_year_total,15
1978,themes_per_year_new,3
1978,pieces_per_year_total,353
1978,pieces_per_year_discontinued,41
1978,themes_per_year_discontinued,0
1978,sets_per_year,77
1979,pieces_per_set_total,97.91304348
1979,pieces_per_set_unique,34.47252747
1979,pieces_per_year_new,143
1979,themes_per_year_total,13
1979,themes_per_year_new,4
1979,pieces_per_year_total,402
1979,pieces_per_year_discontinued,71
1979,themes_per_year_discontinued,0
1979,sets_per_year,94
1980,pieces_per_set_total,122.4893617
1980,pieces_per_set_unique,35.4893617
1980,pieces_per_year_new,127
1980,themes_per_year_total,21
1980,themes_per_year_new,1
1980,pieces_per_year_total,565
1980,pieces_per_year_discontinued,109
1980,themes_per_year_discontinued,1
1980,sets_per_year,102
1981,pieces_per_set_total,101.5064935
1981,pieces_per_set_unique,32.16883117
1981,pieces_per_year_new,98
1981,themes_per_year_total,15
1981,themes_per_year_new,0
1981,pieces_per_year_total,443
1981,pieces_per_year_discontinued,51
1981,themes_per_year_discontinued,0
1981,sets_per_year,83
1982,pieces_per_set_total,69.59036145
1982,pieces_per_set_unique,23.80722892
1982,pieces_per_year_new,111
1982,themes_per_year_total,18
1982,themes_per_year_new,1
1982,pieces_per_year_total,504
1982,pieces_per_year_discontinued,105
1982,themes_per_year_discontinued,1
1982,sets_per_year,86
1983,pieces_per_set_total,104.0615385
1983,pieces_per_set_unique,34.84615385
1983,pieces_per_year_new,56
1983,themes_per_year_total,18
1983,themes_per_year_new,2
1983,pieces_per_year_total,474
1983,pieces_per_year_discontinued,23
1983,themes_per_year_discontinued,2
1983,sets_per_year,73
1984,pieces_per_set_total,89.22891566
1984,pieces_per_set_unique,29.92771084
1984,pieces_per_year_new,73
1984,themes_per_year_total,19
1984,themes_per_year_new,2
1984,pieces_per_year_total,545
1984,pieces_per_year_discontinued,37
1984,themes_per_year_discontinued,0
1984,sets_per_year,95
1985,pieces_per_set_total,124.8794326
1985,pieces_per_set_unique,41.58865248
1985,pieces_per_year_new,376
1985,themes_per_year_total,26
1985,themes_per_year_new,3
1985,pieces_per_year_total,1001
1985,pieces_per_year_discontinued,264
1985,themes_per_year_discontinued,1
1985,sets_per_year,172
1986,pieces_per_set_total,105.9172414
1986,pieces_per_set_unique,39.69655172
1986,pieces_per_year_new,239
1986,themes_per_year_total,26
1986,themes_per_year_new,1
1986,pieces_per_year_total,898
1986,pieces_per_year_discontinued,125
1986,themes_per_year_discontinued,1
1986,sets_per_year,161
1987,pieces_per_set_total,74.45408163
1987,pieces_per_set_unique,25.50510204
1987,pieces_per_year_new,339
1987,themes_per_year_total,24
1987,themes_per_year_new,3
1987,pieces_per_year_total,963
1987,pieces_per_year_discontinued,293
1987,themes_per_year_discontinued,1
1987,sets_per_year,236
1988,pieces_per_set_total,135.2631579
1988,pieces_per_set_unique,46.84210526
1988,pieces_per_year_new,270
1988,themes_per_year_total,24
1988,themes_per_year_new,2
1988,pieces_per_year_total,958
1988,pieces_per_year_discontinued,267
1988,themes_per_year_discontinued,0
1988,sets_per_year,82
1989,pieces_per_set_total,101.5833333
1989,pieces_per_set_unique,47.625
1989,pieces_per_year_new,134
1989,themes_per_year_total,24
1989,themes_per_year_new,2
1989,pieces_per_year_total,874
1989,pieces_per_year_discontinued,134
1989,themes_per_year_discontinued,2
1989,sets_per_year,135
1990,pieces_per_set_total,179.8952381
1990,pieces_per_set_unique,55.44761905
1990,pieces_per_year_new,320
1990,themes_per_year_total,27
1990,themes_per_year_new,1
1990,pieces_per_year_total,1079
1990,pieces_per_year_discontinued,308
1990,themes_per_year_discontinued,4
1990,sets_per_year,115
1991,pieces_per_set_total,139.8417266
1991,pieces_per_set_unique,52.8057554
1991,pieces_per_year_new,202
1991,themes_per_year_total,29
1991,themes_per_year_new,2
1991,pieces_per_year_total,1052
1991,pieces_per_year_discontinued,155
1991,themes_per_year_discontinued,1
1991,sets_per_year,147
1992,pieces_per_set_total,123.1346154
1992,pieces_per_set_unique,44.61538462
1992,pieces_per_year_new,125
1992,themes_per_year_total,32
1992,themes_per_year_new,4
1992,pieces_per_year_total,961
1992,pieces_per_year_discontinued,157
1992,themes_per_year_discontinued,0
1992,sets_per_year,138
1993,pieces_per_set_total,131.7424242
1993,pieces_per_set_unique,49.48091603
1993,pieces_per_year_new,172
1993,themes_per_year_total,30
1993,themes_per_year_new,2
1993,pieces_per_year_total,1066
1993,pieces_per_year_discontinued,136
1993,themes_per_year_discontinued,2
1993,sets_per_year,137
1994,pieces_per_set_total,122.3381295
1994,pieces_per_set_unique,50.62589928
1994,pieces_per_year_new,286
1994,themes_per_year_total,28
1994,themes_per_year_new,3
1994,pieces_per_year_total,1246
1994,pieces_per_year_discontinued,157
1994,themes_per_year_discontinued,0
1994,sets_per_year,170
1995,pieces_per_set_total,137.2722222
1995,pieces_per_set_unique,45.25555556
1995,pieces_per_year_new,330
1995,themes_per_year_total,36
1995,themes_per_year_new,7
1995,pieces_per_year_total,1434
1995,pieces_per_year_discontinued,162
1995,themes_per_year_discontinued,2
1995,sets_per_year,194
1996,pieces_per_set_total,176.6034483
1996,pieces_per_set_unique,60.16091954
1996,pieces_per_year_new,257
1996,themes_per_year_total,41
1996,themes_per_year_new,5
1996,pieces_per_year_total,1429
1996,pieces_per_year_discontinued,153
1996,themes_per_year_discontinued,7
1996,sets_per_year,195
1997,pieces_per_set_total,118.4745098
1997,pieces_per_set_unique,42.48031496
1997,pieces_per_year_new,462
1997,themes_per_year_total,37
1997,themes_per_year_new,8
1997,pieces_per_year_total,1882
1997,pieces_per_year_discontinued,364
1997,themes_per_year_discontinued,5
1997,sets_per_year,283
1998,pieces_per_set_total,137.3678474
1998,pieces_per_set_unique,42.3816156
1998,pieces_per_year_new,725
1998,themes_per_year_total,57
1998,themes_per_year_new,17
1998,pieces_per_year_total,2127
1998,pieces_per_year_discontinued,443
1998,themes_per_year_discontinued,9
1998,sets_per_year,408
1999,pieces_per_set_total,106.5498489
1999,pieces_per_set_unique,37.33939394
1999,pieces_per_year_new,651
1999,themes_per_year_total,50
1999,themes_per_year_new,11
1999,pieces_per_year_total,2097
1999,pieces_per_year_discontinued,553
1999,themes_per_year_discontinued,12
1999,sets_per_year,371
2000,pieces_per_set_total,110.9969325
2000,pieces_per_set_unique,31.78153846
2000,pieces_per_year_new,636
2000,themes_per_year_total,53
2000,themes_per_year_new,14
2000,pieces_per_year_total,1996
2000,pieces_per_year_discontinued,594
2000,themes_per_year_discontinued,8
2000,sets_per_year,399
2001,pieces_per_set_total,113.7794118
2001,pieces_per_set_unique,38.12349398
2001,pieces_per_year_new,1356
2001,themes_per_year_total,55
2001,themes_per_year_new,10
2001,pieces_per_year_total,2557
2001,pieces_per_year_discontinued,1047
2001,themes_per_year_discontinued,15
2001,sets_per_year,437
2002,pieces_per_set_total,135.032967
2002,pieces_per_set_unique,41.99418605
2002,pieces_per_year_new,1119
2002,themes_per_year_total,52
2002,themes_per_year_new,8
2002,pieces_per_year_total,2467
2002,pieces_per_year_discontinued,846
2002,themes_per_year_discontinued,9
2002,sets_per_year,559
2003,pieces_per_set_total,185.5502793
2003,pieces_per_set_unique,51.11714286
2003,pieces_per_year_new,1154
2003,themes_per_year_total,61
2003,themes_per_year_new,15
2003,pieces_per_year_total,2517
2003,pieces_per_year_discontinued,952
2003,themes_per_year_discontinued,9
2003,sets_per_year,516
2004,pieces_per_set_total,164.4789916
2004,pieces_per_set_unique,55.70028011
2004,pieces_per_year_new,1035
2004,themes_per_year_total,54
2004,themes_per_year_new,8
2004,pieces_per_year_total,2678
2004,pieces_per_year_discontinued,787
2004,themes_per_year_discontinued,8
2004,sets_per_year,449
2005,pieces_per_set_total,225.1003236
2005,pieces_per_set_unique,64.79935275
2005,pieces_per_year_new,764
2005,themes_per_year_total,52
2005,themes_per_year_new,9
2005,pieces_per_year_total,2561
2005,pieces_per_year_discontinued,811
2005,themes_per_year_discontinued,3
2005,sets_per_year,386
2006,pieces_per_set_total,262.9565217
2006,pieces_per_set_unique,79.02554745
2006,pieces_per_year_new,843
2006,themes_per_year_total,57
2006,themes_per_year_new,7
2006,pieces_per_year_total,2515
2006,pieces_per_year_discontinued,838
2006,themes_per_year_discontinued,12
2006,sets_per_year,399
2007,pieces_per_set_total,308.608871
2007,pieces_per_set_unique,84.07287449
2007,pieces_per_year_new,380
2007,themes_per_year_total,54
2007,themes_per_year_new,5
2007,pieces_per_year_total,1998
2007,pieces_per_year_discontinued,410
2007,themes_per_year_discontinued,5
2007,sets_per_year,445
2008,pieces_per_set_total,292.5390071
2008,pieces_per_set_unique,85.90391459
2008,pieces_per_year_new,541
2008,themes_per_year_total,59
2008,themes_per_year_new,8
2008,pieces_per_year_total,2263
2008,pieces_per_year_discontinued,630
2008,themes_per_year_discontinued,6
2008,sets_per_year,446
2009,pieces_per_set_total,231.5847953
2009,pieces_per_set_unique,71.00884956
2009,pieces_per_year_new,626
2009,themes_per_year_total,57
2009,themes_per_year_new,4
2009,pieces_per_year_total,2200
2009,pieces_per_year_discontinued,549
2009,themes_per_year_discontinued,7
2009,sets_per_year,526
2010,pieces_per_set_total,286.5732087
2010,pieces_per_set_unique,84.01567398
2010,pieces_per_year_new,606
2010,themes_per_year_total,63
2010,themes_per_year_new,13
2010,pieces_per_year_total,2170
2010,pieces_per_year_discontinued,436
2010,themes_per_year_discontinued,7
2010,sets_per_year,518
2011,pieces_per_set_total,229.416185
2011,pieces_per_set_unique,77.64011799
2011,pieces_per_year_new,1004
2011,themes_per_year_total,58
2011,themes_per_year_new,8
2011,pieces_per_year_total,2521
2011,pieces_per_year_discontinued,750
2011,themes_per_year_discontinued,4
2011,sets_per_year,604
2012,pieces_per_set_total,222.7584541
2012,pieces_per_set_unique,80.16381418
2012,pieces_per_year_new,980
2012,themes_per_year_total,73
2012,themes_per_year_new,13
2012,pieces_per_year_total,2791
2012,pieces_per_year_discontinued,862
2012,themes_per_year_discontinued,7
2012,sets_per_year,709
2013,pieces_per_set_total,253.0803783
2013,pieces_per_set_unique,82.66028708
2013,pieces_per_year_new,1164
2013,themes_per_year_total,76
2013,themes_per_year_new,10
2013,pieces_per_year_total,2819
2013,pieces_per_year_discontinued,829
2013,themes_per_year_discontinued,9
2013,sets_per_year,724
2014,pieces_per_set_total,253.3872951
2014,pieces_per_set_unique,88.30416667
2014,pieces_per_year_new,865
2014,themes_per_year_total,83
2014,themes_per_year_new,9
2014,pieces_per_year_total,2638
2014,pieces_per_year_discontinued,550
2014,themes_per_year_discontinued,13
2014,sets_per_year,913
2015,pieces_per_set_total,259.0754386
2015,pieces_per_set_unique,87.50793651
2015,pieces_per_year_new,977
2015,themes_per_year_total,83
2015,themes_per_year_new,11
2015,pieces_per_year_total,2909
2015,pieces_per_year_discontinued,642
2015,themes_per_year_discontinued,9
2015,sets_per_year,882
2016,pieces_per_set_total,269.6660959
2016,pieces_per_set_unique,88.44869565
2016,pieces_per_year_new,1204
2016,themes_per_year_total,84
2016,themes_per_year_new,8
2016,pieces_per_year_total,3161
2016,pieces_per_year_discontinued,892
2016,themes_per_year_discontinued,11
2016,sets_per_year,899
2017,pieces_per_set_total,311.709507
2017,pieces_per_set_unique,100.4814159
2017,pieces_per_year_new,1516
2017,themes_per_year_total,79
2017,themes_per_year_new,4
2017,pieces_per_year_total,3524
2017,pieces_per_year_discontinued,1240
2017,themes_per_year_discontinued,7
2017,sets_per_year,921
2018,pieces_per_set_total,290.982906
2018,pieces_per_set_unique,99.31260794
2018,pieces_per_year_new,1421
2018,themes_per_year_total,80
2018,themes_per_year_new,9
2018,pieces_per_year_total,3432
2018,pieces_per_year_discontinued,1168
2018,themes_per_year_discontinued,13
2018,sets_per_year,922
2019,pieces_per_set_total,323.3259762
2019,pieces_per_set_unique,108.4143836
2019,pieces_per_year_new,1203
2019,themes_per_year_total,75
2019,themes_per_year_new,6
2019,pieces_per_year_total,3300
2019,pieces_per_year_discontinued,898
2019,themes_per_year_discontinued,8
2019,sets_per_year,998
2020,pieces_per_set_total,347.2722772
2020,pieces_per_set_unique,118.960199
2020,pieces_per_year_new,1600
2020,themes_per_year_total,80
2020,themes_per_year_new,8
2020,pieces_per_year_total,3857
2020,pieces_per_year_discontinued,1260
2020,themes_per_year_discontinued,9
2020,sets_per_year,1008
2021,pieces_per_set_total,399.32263
2021,pieces_per_set_unique,118.0383436
2021,pieces_per_year_new,1847
2021,themes_per_year_total,77
2021,themes_per_year_new,2
2021,pieces_per_year_total,4059
2021,pieces_per_year_discontinued,1538
2021,themes_per_year_discontinued,13
2021,sets_per_year,1137
2022,pieces_per_set_total,468.1063465
2022,pieces_per_set_unique,126.0017212
2022,pieces_per_year_new,1869
2022,themes_per_year_total,68
2022,themes_per_year_new,1
2022,pieces_per_year_total,4112
2022,pieces_per_year_discontinued,2287
2022,themes_per_year_discontinued,18
2022,sets_per_year,964